Tanggal,Wilayah,Jenis_Perkebunan,Jenis_Proses,Produksi_kg,Harga_per_kg_IDR,Kualitas,Profit,Year,Month,Month_Name,Quarter,Kombinasi
2025-12-10,Sulawesi,Perkebunan Swasta,Roasting,888.09,41341.02,Grade C,36714546.451799996,2025,12,December,4,Sulawesi | Perkebunan Swasta | Roasting
2024-03-01,Bali,Perkebunan Swasta,Roasting,455.46,47093.83,Grade B,21449355.8118,2024,3,March,1,Bali | Perkebunan Swasta | Roasting
2025-01-06,Bali,Perkebunan Swasta,Penggilingan,646.04,59162.17,Grade C,38221128.3068,2025,1,January,1,Bali | Perkebunan Swasta | Penggilingan
2025-04-26,Sulawesi,Perkebunan Swasta,Penggilingan,1600.21,33160.63,Grade A,53063971.7323,2025,4,April,2,Sulawesi | Perkebunan Swasta | Penggilingan
2024-06-30,Bali,Perkebunan Rakyat,Roasting,592.32,47808.25,Grade B,28317782.64,2024,6,June,2,Bali | Perkebunan Rakyat | Roasting
2024-01-21,NTT,Perkebunan Negara,Pengeringan,1130.7,27921.72,Grade C,31571088.804,2024,1,January,1,NTT | Perkebunan Negara | Pengeringan
2025-12-18,NTT,Perkebunan Rakyat,Pengeringan,530.96,53477.05,Grade B,28394174.468000002,2025,12,December,4,NTT | Perkebunan Rakyat | Pengeringan
2024-07-23,Sulawesi,Perkebunan Swasta,Pengeringan,646.7,52860.52,Grade A,34184898.284,2024,7,July,3,Sulawesi | Perkebunan Swasta | Pengeringan
2025-12-03,Sulawesi,Perkebunan Rakyat,Pengeringan,510.41,31844.41,Grade C,16253705.3081,2025,12,December,4,Sulawesi | Perkebunan Rakyat | Pengeringan
2025-05-01,Sulawesi,Perkebunan Rakyat,Penggilingan,451.52,32143.23,Grade B,14513311.2096,2025,5,May,2,Sulawesi | Perkebunan Rakyat | Penggilingan
2024-11-08,Sulawesi,Perkebunan Negara,Fermentasi,409.31,33495.54,Grade A,13710059.477400001,2024,11,November,4,Sulawesi | Perkebunan Negara | Fermentasi
2025-08-18,Jawa Timur,Perkebunan Rakyat,Pengeringan,1002.16,35293.22,Grade C,35369453.3552,2025,8,August,3,Jawa Timur | Perkebunan Rakyat | Pengeringan
2024-05-26,Bali,Perkebunan Rakyat,Roasting,1505.02,42729.28,Grade B,64308420.985599995,2024,5,May,2,Bali | Perkebunan Rakyat | Roasting
2025-01-07,NTT,Perkebunan Swasta,Penggilingan,825.97,45211.67,Grade B,37343483.0699,2025,1,January,1,NTT | Perkebunan Swasta | Penggilingan
2026-01-04,Jawa Barat,Perkebunan Negara,Pengeringan,968.08,40241.52,Grade B,38957010.6816,2026,1,January,1,Jawa Barat | Perkebunan Negara | Pengeringan
2024-02-27,Jawa Barat,Perkebunan Swasta,Roasting,466.15,41859.47,Grade A,19512791.9405,2024,2,February,1,Jawa Barat | Perkebunan Swasta | Roasting
2024-11-10,Jawa Barat,Perkebunan Negara,Fermentasi,1420.9,57711.48,Grade B,82002241.93200001,2024,11,November,4,Jawa Barat | Perkebunan Negara | Fermentasi
2025-02-26,Jawa Barat,Perkebunan Rakyat,Penggilingan,1936.91,33499.11,Grade A,64884761.1501,2025,2,February,1,Jawa Barat | Perkebunan Rakyat | Penggilingan
2024-08-31,Jawa Timur,Perkebunan Rakyat,Fermentasi,1741.74,40436.93,Grade C,70430618.45820001,2024,8,August,3,Jawa Timur | Perkebunan Rakyat | Fermentasi
2025-03-30,Sulawesi,Perkebunan Rakyat,Penggilingan,1653.56,47222.93,Grade A,78085948.1308,2025,3,March,1,Sulawesi | Perkebunan Rakyat | Penggilingan
2024-06-25,Jawa Barat,Perkebunan Rakyat,Fermentasi,1973.11,54485.47,Grade B,107505825.71169999,2024,6,June,2,Jawa Barat | Perkebunan Rakyat | Fermentasi
2024-04-11,NTT,Perkebunan Negara,Pengeringan,476.15,39468.49,Grade B,18792921.513499998,2024,4,April,2,NTT | Perkebunan Negara | Pengeringan
2024-05-22,Bali,Perkebunan Negara,Roasting,509.15,56078.65,Grade B,28552444.6475,2024,5,May,2,Bali | Perkebunan Negara | Roasting
2024-11-29,Sumatera,Perkebunan Swasta,Penggilingan,1651.39,40556.58,Grade C,66974730.64620001,2024,11,November,4,Sumatera | Perkebunan Swasta | Penggilingan
2025-11-28,NTT,Perkebunan Negara,Penggilingan,1882.83,55322.47,Grade B,104162806.1901,2025,11,November,4,NTT | Perkebunan Negara | Penggilingan
2025-09-02,Sumatera,Perkebunan Rakyat,Fermentasi,777.91,46609.05,Grade A,36257646.0855,2025,9,September,3,Sumatera | Perkebunan Rakyat | Fermentasi
2026-02-15,NTT,Perkebunan Rakyat,Penggilingan,1700.18,51772.77,Grade A,88023028.0986,2026,2,February,1,NTT | Perkebunan Rakyat | Penggilingan
2024-07-24,Bali,Perkebunan Rakyat,Penggilingan,714.49,59335.58,Grade A,42394678.5542,2024,7,July,3,Bali | Perkebunan Rakyat | Penggilingan
2025-08-07,NTT,Perkebunan Rakyat,Penggilingan,316.87,58535.68,Grade B,18548200.9216,2025,8,August,3,NTT | Perkebunan Rakyat | Penggilingan
2024-03-24,Sulawesi,Perkebunan Rakyat,Fermentasi,1740.25,29211.48,Grade A,50835278.07,2024,3,March,1,Sulawesi | Perkebunan Rakyat | Fermentasi
2025-05-15,Sumatera,Perkebunan Negara,Roasting,1256.61,58610.61,Grade C,73650678.6321,2025,5,May,2,Sumatera | Perkebunan Negara | Roasting
2024-02-10,NTT,Perkebunan Swasta,Pengeringan,1573.75,54459.87,Grade B,85706220.41250001,2024,2,February,1,NTT | Perkebunan Swasta | Pengeringan
2024-05-29,NTT,Perkebunan Swasta,Roasting,978.43,41503.96,Grade B,40608719.58279999,2024,5,May,2,NTT | Perkebunan Swasta | Roasting
2024-07-31,Bali,Perkebunan Rakyat,Pengeringan,505.59,40227.52,Grade B,20338631.836799998,2024,7,July,3,Bali | Perkebunan Rakyat | Pengeringan
2025-02-09,Jawa Barat,Perkebunan Rakyat,Pengeringan,1415.54,25821.18,Grade C,36550913.1372,2025,2,February,1,Jawa Barat | Perkebunan Rakyat | Pengeringan
2025-04-10,Bali,Perkebunan Swasta,Penggilingan,1096.8,51588.5,Grade B,56582266.8,2025,4,April,2,Bali | Perkebunan Swasta | Penggilingan
2025-05-01,Jawa Timur,Perkebunan Swasta,Fermentasi,781.36,51363.28,Grade B,40133212.4608,2025,5,May,2,Jawa Timur | Perkebunan Swasta | Fermentasi
2025-06-07,Sulawesi,Perkebunan Swasta,Penggilingan,1781.65,38582.24,Grade C,68740047.896,2025,6,June,2,Sulawesi | Perkebunan Swasta | Penggilingan
2025-06-09,NTT,Perkebunan Swasta,Penggilingan,1624.94,34755.86,Grade A,56476187.1484,2025,6,June,2,NTT | Perkebunan Swasta | Penggilingan
2026-02-03,NTT,Perkebunan Rakyat,Pengeringan,680.03,40433.64,Grade A,27496088.2092,2026,2,February,1,NTT | Perkebunan Rakyat | Pengeringan
2026-01-09,Sumatera,Perkebunan Negara,Pengeringan,252.79,28406.16,Grade A,7180793.1864,2026,1,January,1,Sumatera | Perkebunan Negara | Pengeringan
2025-04-27,Bali,Perkebunan Swasta,Penggilingan,1841.95,39845.18,Grade B,73392829.301,2025,4,April,2,Bali | Perkebunan Swasta | Penggilingan
2024-04-03,Bali,Perkebunan Rakyat,Pengeringan,1272.35,57958.7,Grade C,73743751.945,2024,4,April,2,Bali | Perkebunan Rakyat | Pengeringan
2025-02-18,NTT,Perkebunan Swasta,Pengeringan,1964.16,38423.98,Grade B,75470844.55680001,2025,2,February,1,NTT | Perkebunan Swasta | Pengeringan
2025-09-23,NTT,Perkebunan Rakyat,Fermentasi,1393.77,50937.32,Grade B,70994908.4964,2025,9,September,3,NTT | Perkebunan Rakyat | Fermentasi
2024-03-18,Sumatera,Perkebunan Rakyat,Pengeringan,237.52,40443.0,Grade A,9606021.360000001,2024,3,March,1,Sumatera | Perkebunan Rakyat | Pengeringan
2026-01-26,Jawa Barat,Perkebunan Negara,Penggilingan,1506.89,37089.29,Grade A,55889480.208100006,2026,1,January,1,Jawa Barat | Perkebunan Negara | Penggilingan
2024-03-21,Jawa Timur,Perkebunan Rakyat,Roasting,1880.12,58764.29,Grade A,110483916.91479999,2024,3,March,1,Jawa Timur | Perkebunan Rakyat | Roasting
2025-06-23,Jawa Timur,Perkebunan Rakyat,Fermentasi,1210.07,54513.72,Grade B,65965417.160399996,2025,6,June,2,Jawa Timur | Perkebunan Rakyat | Fermentasi
2026-01-12,Bali,Perkebunan Swasta,Pengeringan,389.46,35184.33,Grade B,13702889.1618,2026,1,January,1,Bali | Perkebunan Swasta | Pengeringan
2025-11-27,Jawa Timur,Perkebunan Rakyat,Fermentasi,1596.02,29436.43,Grade C,46981131.0086,2025,11,November,4,Jawa Timur | Perkebunan Rakyat | Fermentasi
2024-07-04,NTT,Perkebunan Swasta,Roasting,314.2,41122.01,Grade A,12920535.542,2024,7,July,3,NTT | Perkebunan Swasta | Roasting
2025-02-08,Bali,Perkebunan Negara,Penggilingan,889.93,51122.85,Grade B,45495757.9005,2025,2,February,1,Bali | Perkebunan Negara | Penggilingan
2025-02-10,Sumatera,Perkebunan Negara,Fermentasi,1581.72,39181.2,Grade C,61973687.664,2025,2,February,1,Sumatera | Perkebunan Negara | Fermentasi
2025-11-10,NTT,Perkebunan Swasta,Roasting,392.54,53276.41,Grade B,20913121.9814,2025,11,November,4,NTT | Perkebunan Swasta | Roasting
2024-12-09,Jawa Barat,Perkebunan Negara,Pengeringan,1297.81,32172.95,Grade C,41754376.2395,2024,12,December,4,Jawa Barat | Perkebunan Negara | Pengeringan
2024-03-26,Jawa Barat,Perkebunan Rakyat,Pengeringan,703.08,44282.54,Grade C,31134168.2232,2024,3,March,1,Jawa Barat | Perkebunan Rakyat | Pengeringan
2025-10-10,NTT,Perkebunan Rakyat,Penggilingan,1155.31,30528.84,Grade A,35270274.1404,2025,10,October,4,NTT | Perkebunan Rakyat | Penggilingan
2024-06-06,Sumatera,Perkebunan Rakyat,Penggilingan,1426.17,39907.08,Grade A,56914280.2836,2024,6,June,2,Sumatera | Perkebunan Rakyat | Penggilingan
2025-10-17,Sulawesi,Perkebunan Swasta,Penggilingan,1998.55,47957.59,Grade B,95845641.4945,2025,10,October,4,Sulawesi | Perkebunan Swasta | Penggilingan
2025-12-23,Jawa Barat,Perkebunan Negara,Penggilingan,1348.75,56553.71,Grade B,76276816.3625,2025,12,December,4,Jawa Barat | Perkebunan Negara | Penggilingan
2025-04-15,Jawa Barat,Perkebunan Rakyat,Fermentasi,468.92,52047.04,Grade B,24405897.9968,2025,4,April,2,Jawa Barat | Perkebunan Rakyat | Fermentasi
2025-08-27,Bali,Perkebunan Negara,Roasting,1947.41,38854.24,Grade C,75665135.5184,2025,8,August,3,Bali | Perkebunan Negara | Roasting
2024-01-20,Sumatera,Perkebunan Negara,Penggilingan,1464.86,53241.16,Grade C,77990845.6376,2024,1,January,1,Sumatera | Perkebunan Negara | Penggilingan
2024-04-17,Jawa Timur,Perkebunan Negara,Penggilingan,1918.51,29129.57,Grade C,55885371.3407,2024,4,April,2,Jawa Timur | Perkebunan Negara | Penggilingan
2024-07-18,Jawa Barat,Perkebunan Rakyat,Pengeringan,527.55,46304.31,Grade C,24427838.740499996,2024,7,July,3,Jawa Barat | Perkebunan Rakyat | Pengeringan
2024-09-07,Sumatera,Perkebunan Negara,Roasting,1506.78,59546.32,Grade C,89723204.0496,2024,9,September,3,Sumatera | Perkebunan Negara | Roasting
2025-01-17,Jawa Timur,Perkebunan Swasta,Fermentasi,1703.53,29369.93,Grade C,50032556.8529,2025,1,January,1,Jawa Timur | Perkebunan Swasta | Fermentasi
2024-01-27,Sumatera,Perkebunan Swasta,Penggilingan,877.52,33422.74,Grade A,29329122.804799996,2024,1,January,1,Sumatera | Perkebunan Swasta | Penggilingan
2024-10-27,Jawa Timur,Perkebunan Negara,Roasting,1128.18,37117.42,Grade C,41875130.8956,2024,10,October,4,Jawa Timur | Perkebunan Negara | Roasting
2026-01-07,Sumatera,Perkebunan Rakyat,Penggilingan,500.87,38722.83,Grade A,19395103.8621,2026,1,January,1,Sumatera | Perkebunan Rakyat | Penggilingan
2025-06-23,Bali,Perkebunan Rakyat,Penggilingan,1893.12,44466.36,Grade C,84180155.44319999,2025,6,June,2,Bali | Perkebunan Rakyat | Penggilingan
2025-03-27,Jawa Timur,Perkebunan Rakyat,Pengeringan,534.57,28822.11,Grade C,15407435.3427,2025,3,March,1,Jawa Timur | Perkebunan Rakyat | Pengeringan
2026-02-02,Sumatera,Perkebunan Negara,Pengeringan,1480.9,29868.82,Grade A,44232735.538,2026,2,February,1,Sumatera | Perkebunan Negara | Pengeringan
2025-12-09,NTT,Perkebunan Swasta,Pengeringan,1597.28,31016.75,Grade C,49542434.44,2025,12,December,4,NTT | Perkebunan Swasta | Pengeringan
2024-12-07,Jawa Timur,Perkebunan Negara,Penggilingan,1606.7,47545.25,Grade A,76390953.175,2024,12,December,4,Jawa Timur | Perkebunan Negara | Penggilingan
2025-09-09,NTT,Perkebunan Rakyat,Roasting,1206.9,48174.21,Grade B,58141454.049,2025,9,September,3,NTT | Perkebunan Rakyat | Roasting
2024-07-25,NTT,Perkebunan Negara,Penggilingan,667.21,52465.13,Grade A,35005259.3873,2024,7,July,3,NTT | Perkebunan Negara | Penggilingan
2025-11-04,Jawa Timur,Perkebunan Negara,Roasting,385.38,26429.21,Grade A,10185288.9498,2025,11,November,4,Jawa Timur | Perkebunan Negara | Roasting
2026-01-22,Bali,Perkebunan Rakyat,Fermentasi,641.37,54069.09,Grade A,34678292.253299996,2026,1,January,1,Bali | Perkebunan Rakyat | Fermentasi
2025-08-08,Sulawesi,Perkebunan Rakyat,Penggilingan,963.43,59896.35,Grade B,57705940.4805,2025,8,August,3,Sulawesi | Perkebunan Rakyat | Penggilingan
2024-05-01,NTT,Perkebunan Negara,Penggilingan,1478.98,25910.14,Grade A,38320578.8572,2024,5,May,2,NTT | Perkebunan Negara | Penggilingan
2024-09-23,Sulawesi,Perkebunan Swasta,Penggilingan,1823.97,46451.41,Grade C,84725978.2977,2024,9,September,3,Sulawesi | Perkebunan Swasta | Penggilingan
2025-10-16,NTT,Perkebunan Rakyat,Fermentasi,1478.67,46778.49,Grade B,69169949.8083,2025,10,October,4,NTT | Perkebunan Rakyat | Fermentasi
2024-06-18,Jawa Barat,Perkebunan Swasta,Penggilingan,1092.04,46120.53,Grade A,50365463.581199996,2024,6,June,2,Jawa Barat | Perkebunan Swasta | Penggilingan
2025-07-18,Bali,Perkebunan Rakyat,Fermentasi,904.12,35396.93,Grade C,32003072.3516,2025,7,July,3,Bali | Perkebunan Rakyat | Fermentasi
2024-11-25,Sulawesi,Perkebunan Swasta,Roasting,1157.78,46984.03,Grade C,54397170.2534,2024,11,November,4,Sulawesi | Perkebunan Swasta | Roasting
2025-10-06,Jawa Timur,Perkebunan Swasta,Fermentasi,1880.55,43251.02,Grade B,81335705.661,2025,10,October,4,Jawa Timur | Perkebunan Swasta | Fermentasi
2024-06-06,Jawa Timur,Perkebunan Negara,Pengeringan,1751.67,35788.63,Grade B,62689869.512099996,2024,6,June,2,Jawa Timur | Perkebunan Negara | Pengeringan
2024-01-07,Sumatera,Perkebunan Rakyat,Fermentasi,337.7,37772.49,Grade C,12755769.873,2024,1,January,1,Sumatera | Perkebunan Rakyat | Fermentasi
2026-01-25,Jawa Barat,Perkebunan Negara,Pengeringan,1275.08,27005.25,Grade C,34433854.169999994,2026,1,January,1,Jawa Barat | Perkebunan Negara | Pengeringan
2025-01-08,Jawa Barat,Perkebunan Negara,Pengeringan,1455.26,42103.86,Grade A,61272063.3036,2025,1,January,1,Jawa Barat | Perkebunan Negara | Pengeringan
2025-09-06,Sumatera,Perkebunan Negara,Fermentasi,818.09,59968.29,Grade B,49059458.366100006,2025,9,September,3,Sumatera | Perkebunan Negara | Fermentasi
2024-12-24,Sumatera,Perkebunan Swasta,Fermentasi,501.72,29333.71,Grade C,14717308.9812,2024,12,December,4,Sumatera | Perkebunan Swasta | Fermentasi
2024-05-19,Bali,Perkebunan Swasta,Fermentasi,888.69,59395.61,Grade B,52784284.65090001,2024,5,May,2,Bali | Perkebunan Swasta | Fermentasi
2024-11-17,Jawa Barat,Perkebunan Swasta,Roasting,1147.14,31953.65,Grade A,36655310.061000004,2024,11,November,4,Jawa Barat | Perkebunan Swasta | Roasting
2026-02-21,Jawa Barat,Perkebunan Rakyat,Fermentasi,1619.98,53966.14,Grade A,87424067.4772,2026,2,February,1,Jawa Barat | Perkebunan Rakyat | Fermentasi
2025-09-03,Sulawesi,Perkebunan Rakyat,Fermentasi,517.56,55223.43,Grade C,28581438.4308,2025,9,September,3,Sulawesi | Perkebunan Rakyat | Fermentasi
2024-09-09,Jawa Timur,Perkebunan Negara,Penggilingan,1926.94,26073.92,Grade B,50242879.4048,2024,9,September,3,Jawa Timur | Perkebunan Negara | Penggilingan
2024-03-22,NTT,Perkebunan Swasta,Pengeringan,1179.85,30661.36,Grade A,36175805.596,2024,3,March,1,NTT | Perkebunan Swasta | Pengeringan
2025-03-22,Sumatera,Perkebunan Rakyat,Fermentasi,1149.56,41099.67,Grade B,47246536.6452,2025,3,March,1,Sumatera | Perkebunan Rakyat | Fermentasi
2024-02-08,Sulawesi,Perkebunan Swasta,Roasting,1575.95,51139.14,Grade B,80592727.683,2024,2,February,1,Sulawesi | Perkebunan Swasta | Roasting
2025-06-03,Sulawesi,Perkebunan Rakyat,Fermentasi,1624.37,31926.05,Grade B,51859717.83849999,2025,6,June,2,Sulawesi | Perkebunan Rakyat | Fermentasi
2024-10-08,Sumatera,Perkebunan Swasta,Pengeringan,792.57,47632.07,Grade B,37751749.719900005,2024,10,October,4,Sumatera | Perkebunan Swasta | Pengeringan
2024-02-01,Sulawesi,Perkebunan Negara,Roasting,1919.07,36844.96,Grade A,70708057.3872,2024,2,February,1,Sulawesi | Perkebunan Negara | Roasting
2024-09-21,NTT,Perkebunan Rakyat,Roasting,1283.47,59698.52,Grade B,76621259.4644,2024,9,September,3,NTT | Perkebunan Rakyat | Roasting
2025-10-14,NTT,Perkebunan Rakyat,Roasting,1248.17,59113.15,Grade A,73783260.43550001,2025,10,October,4,NTT | Perkebunan Rakyat | Roasting
2024-10-23,NTT,Perkebunan Negara,Pengeringan,356.27,27057.19,Grade C,9639665.0813,2024,10,October,4,NTT | Perkebunan Negara | Pengeringan
2025-08-01,Jawa Timur,Perkebunan Rakyat,Penggilingan,1733.32,46194.08,Grade B,80069122.7456,2025,8,August,3,Jawa Timur | Perkebunan Rakyat | Penggilingan
2025-03-26,NTT,Perkebunan Negara,Pengeringan,1821.55,28807.08,Grade B,52473536.574,2025,3,March,1,NTT | Perkebunan Negara | Pengeringan
2024-08-01,Bali,Perkebunan Rakyat,Roasting,664.9,31595.59,Grade C,21007907.791,2024,8,August,3,Bali | Perkebunan Rakyat | Roasting
2026-01-22,Jawa Barat,Perkebunan Rakyat,Penggilingan,1902.37,36541.0,Grade C,69514502.17,2026,1,January,1,Jawa Barat | Perkebunan Rakyat | Penggilingan
2024-09-10,Jawa Barat,Perkebunan Swasta,Roasting,1932.29,49553.98,Grade C,95752660.0142,2024,9,September,3,Jawa Barat | Perkebunan Swasta | Roasting
2024-03-31,Bali,Perkebunan Rakyat,Pengeringan,1118.48,46127.18,Grade C,51592328.2864,2024,3,March,1,Bali | Perkebunan Rakyat | Pengeringan
2025-03-26,NTT,Perkebunan Rakyat,Fermentasi,947.64,34208.69,Grade B,32417522.991600003,2025,3,March,1,NTT | Perkebunan Rakyat | Fermentasi
2025-12-24,Jawa Timur,Perkebunan Negara,Fermentasi,581.69,54646.14,Grade B,31787113.1766,2025,12,December,4,Jawa Timur | Perkebunan Negara | Fermentasi
2025-12-22,NTT,Perkebunan Negara,Penggilingan,935.01,36763.91,Grade A,34374623.4891,2025,12,December,4,NTT | Perkebunan Negara | Penggilingan
2025-12-12,Jawa Barat,Perkebunan Swasta,Fermentasi,1511.41,57916.77,Grade B,87535985.3457,2025,12,December,4,Jawa Barat | Perkebunan Swasta | Fermentasi
2025-12-28,Sulawesi,Perkebunan Swasta,Pengeringan,1852.13,42114.07,Grade C,78000732.4691,2025,12,December,4,Sulawesi | Perkebunan Swasta | Pengeringan
2025-01-13,Jawa Barat,Perkebunan Rakyat,Penggilingan,678.84,53931.27,Grade B,36610703.326799996,2025,1,January,1,Jawa Barat | Perkebunan Rakyat | Penggilingan
2024-11-15,NTT,Perkebunan Swasta,Fermentasi,1311.68,50860.06,Grade A,66712123.5008,2024,11,November,4,NTT | Perkebunan Swasta | Fermentasi
2025-02-09,Bali,Perkebunan Swasta,Penggilingan,430.33,28190.94,Grade C,12131407.210199999,2025,2,February,1,Bali | Perkebunan Swasta | Penggilingan
2025-03-20,Bali,Perkebunan Negara,Fermentasi,637.3,45110.61,Grade A,28748991.753,2025,3,March,1,Bali | Perkebunan Negara | Fermentasi
2025-10-31,NTT,Perkebunan Rakyat,Fermentasi,933.57,35959.43,Grade A,33570645.0651,2025,10,October,4,NTT | Perkebunan Rakyat | Fermentasi
2024-09-04,Sulawesi,Perkebunan Negara,Pengeringan,1315.1,27596.8,Grade B,36292551.68,2024,9,September,3,Sulawesi | Perkebunan Negara | Pengeringan
2024-11-19,Sumatera,Perkebunan Negara,Fermentasi,334.14,38218.76,Grade C,12770416.4664,2024,11,November,4,Sumatera | Perkebunan Negara | Fermentasi
2026-02-27,NTT,Perkebunan Negara,Roasting,1967.31,34469.15,Grade A,67811503.4865,2026,2,February,1,NTT | Perkebunan Negara | Roasting
2024-12-03,Jawa Timur,Perkebunan Negara,Fermentasi,1533.18,25482.03,Grade C,39068538.7554,2024,12,December,4,Jawa Timur | Perkebunan Negara | Fermentasi
2025-04-19,NTT,Perkebunan Swasta,Roasting,1891.88,51871.01,Grade B,98133726.39880002,2025,4,April,2,NTT | Perkebunan Swasta | Roasting
2025-07-04,Sumatera,Perkebunan Rakyat,Fermentasi,1641.13,58580.34,Grade A,96137953.3842,2025,7,July,3,Sumatera | Perkebunan Rakyat | Fermentasi
2025-03-26,Sumatera,Perkebunan Rakyat,Penggilingan,267.86,26797.34,Grade C,7177935.492400001,2025,3,March,1,Sumatera | Perkebunan Rakyat | Penggilingan
2026-02-06,Jawa Barat,Perkebunan Negara,Penggilingan,977.7,36131.32,Grade A,35325591.564,2026,2,February,1,Jawa Barat | Perkebunan Negara | Penggilingan
2025-05-23,Sulawesi,Perkebunan Negara,Fermentasi,1258.58,30189.04,Grade A,37995321.963199995,2025,5,May,2,Sulawesi | Perkebunan Negara | Fermentasi
2025-05-28,Jawa Timur,Perkebunan Negara,Pengeringan,1996.89,35576.03,Grade A,71041418.5467,2025,5,May,2,Jawa Timur | Perkebunan Negara | Pengeringan
2025-11-22,NTT,Perkebunan Negara,Fermentasi,1211.74,51244.22,Grade C,62094671.1428,2025,11,November,4,NTT | Perkebunan Negara | Fermentasi
2024-03-15,Jawa Barat,Perkebunan Rakyat,Roasting,649.24,55440.9,Grade B,35994449.916,2024,3,March,1,Jawa Barat | Perkebunan Rakyat | Roasting
2024-07-11,Jawa Timur,Perkebunan Swasta,Pengeringan,1942.08,31634.02,Grade A,61435797.5616,2024,7,July,3,Jawa Timur | Perkebunan Swasta | Pengeringan
2024-06-29,Sumatera,Perkebunan Rakyat,Roasting,1244.28,32855.7,Grade C,40881690.396,2024,6,June,2,Sumatera | Perkebunan Rakyat | Roasting
2024-02-10,Bali,Perkebunan Swasta,Fermentasi,1593.4,43290.64,Grade C,68979305.77600001,2024,2,February,1,Bali | Perkebunan Swasta | Fermentasi
2024-04-13,Sumatera,Perkebunan Swasta,Fermentasi,832.83,30123.37,Grade A,25087646.2371,2024,4,April,2,Sumatera | Perkebunan Swasta | Fermentasi
2024-04-05,NTT,Perkebunan Rakyat,Fermentasi,1411.72,50350.68,Grade A,71081061.9696,2024,4,April,2,NTT | Perkebunan Rakyat | Fermentasi
2026-01-17,Jawa Barat,Perkebunan Rakyat,Penggilingan,1489.73,51223.51,Grade C,76309199.5523,2026,1,January,1,Jawa Barat | Perkebunan Rakyat | Penggilingan
2025-02-12,Jawa Timur,Perkebunan Swasta,Fermentasi,1880.73,55680.47,Grade B,104719930.3431,2025,2,February,1,Jawa Timur | Perkebunan Swasta | Fermentasi
2025-09-25,Bali,Perkebunan Rakyat,Roasting,1396.96,36514.95,Grade B,51009924.55199999,2025,9,September,3,Bali | Perkebunan Rakyat | Roasting
2025-03-16,Sumatera,Perkebunan Rakyat,Roasting,1794.55,41047.81,Grade C,73662347.4355,2025,3,March,1,Sumatera | Perkebunan Rakyat | Roasting
2025-02-20,Jawa Timur,Perkebunan Swasta,Pengeringan,1904.93,39421.33,Grade C,75094874.1569,2025,2,February,1,Jawa Timur | Perkebunan Swasta | Pengeringan
2025-05-23,Jawa Barat,Perkebunan Swasta,Penggilingan,1922.25,55513.41,Grade A,106710652.3725,2025,5,May,2,Jawa Barat | Perkebunan Swasta | Penggilingan
2025-09-02,Jawa Timur,Perkebunan Swasta,Fermentasi,1113.72,54851.68,Grade B,61089413.049600005,2025,9,September,3,Jawa Timur | Perkebunan Swasta | Fermentasi
2026-01-07,NTT,Perkebunan Rakyat,Roasting,587.4,51853.99,Grade C,30459033.725999996,2026,1,January,1,NTT | Perkebunan Rakyat | Roasting
2025-09-07,Bali,Perkebunan Negara,Roasting,1496.5,49261.11,Grade B,73719251.115,2025,9,September,3,Bali | Perkebunan Negara | Roasting
2025-08-06,Sumatera,Perkebunan Rakyat,Penggilingan,1918.74,51796.18,Grade A,99383402.4132,2025,8,August,3,Sumatera | Perkebunan Rakyat | Penggilingan
2024-02-15,Sumatera,Perkebunan Rakyat,Roasting,1256.8,45865.75,Grade A,57644074.6,2024,2,February,1,Sumatera | Perkebunan Rakyat | Roasting
2024-01-08,Sumatera,Perkebunan Negara,Roasting,1826.03,53959.39,Grade B,98531464.9217,2024,1,January,1,Sumatera | Perkebunan Negara | Roasting
2025-12-13,Sumatera,Perkebunan Negara,Roasting,1385.01,55981.25,Grade A,77534591.0625,2025,12,December,4,Sumatera | Perkebunan Negara | Roasting
2024-03-30,Jawa Barat,Perkebunan Rakyat,Pengeringan,325.01,48285.67,Grade C,15693325.6067,2024,3,March,1,Jawa Barat | Perkebunan Rakyat | Pengeringan
2024-12-05,Sumatera,Perkebunan Negara,Penggilingan,1103.63,37135.53,Grade B,40983884.973900005,2024,12,December,4,Sumatera | Perkebunan Negara | Penggilingan
2025-09-19,NTT,Perkebunan Swasta,Penggilingan,827.05,39682.87,Grade B,32819717.6335,2025,9,September,3,NTT | Perkebunan Swasta | Penggilingan
2025-10-26,NTT,Perkebunan Swasta,Roasting,1906.58,36822.42,Grade C,70204889.5236,2025,10,October,4,NTT | Perkebunan Swasta | Roasting
2025-11-13,Sulawesi,Perkebunan Swasta,Roasting,1901.78,45179.86,Grade A,85922154.1508,2025,11,November,4,Sulawesi | Perkebunan Swasta | Roasting
2024-11-05,Sumatera,Perkebunan Swasta,Fermentasi,1981.5,56218.34,Grade A,111396640.71,2024,11,November,4,Sumatera | Perkebunan Swasta | Fermentasi
2024-02-21,Bali,Perkebunan Rakyat,Fermentasi,1056.61,29790.18,Grade C,31476602.089799996,2024,2,February,1,Bali | Perkebunan Rakyat | Fermentasi
2026-02-15,Bali,Perkebunan Swasta,Penggilingan,625.9,44047.02,Grade C,27569029.817999996,2026,2,February,1,Bali | Perkebunan Swasta | Penggilingan
2024-07-21,Jawa Barat,Perkebunan Negara,Fermentasi,1156.95,26499.03,Grade B,30658052.7585,2024,7,July,3,Jawa Barat | Perkebunan Negara | Fermentasi
